blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID
CLIP_B58269,3.539,,0.0,,,0.0,,0.0,Name from visual search,C,24_RT,2,Q1,Name,Name1,Visual_Search,0,0,14.56,19.26,16.56,18.26,,3.539,,False,1.539,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_BA49B3,3.563,,0.0,,,0.0,,0.0,Name from visual search,C,31_RT,2,Q1,Name,Name1,Visual_Search,0,0,7.29,13.0,9.29,12.0,,3.563,,False,1.5630000000000002,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_BC60DD,2.792,,0.0,,,0.0,0.0,1.0,minor delay in turn to look at squirrel,B,25_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,27.51,32.08,29.51,31.08,,2.792,,False,0.7919999999999998,0.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_BD84FE,,,0.0,,,0.0,0.0,0.0,,B,11_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,42.04,46.82,44.04,45.82,,,,False,,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True
CLIP_BDDFE9,6.297,,0.0,,,0.0,0.0,0.0,,B,34_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,25.54,32.48,27.54,31.48,,6.297,,False,4.297,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_BF637D,5.481,,0.0,,,1.0,1.0,1.0,slowed down and delayed turn to see rabbit,D,01_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.99,15.83,10.99,14.83,,5.481,,False,3.481,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_C45794,3.086,,0.0,,,0.0,0.0,0.0,,D,03_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,31.12,36.46,33.12,35.46,,3.086,,False,1.086,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_C64E27,2.310,,0.0,,,1.0,1.0,1.0,delay in turn to see the squirrel,A,08_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,34.43,39.22,36.43,38.22,43.08,2.31,,False,0.31,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_C9D003,5.034,,0.0,,,0.0,,0.0,Name from visual search,C,15_RT,2,Q1,Name,Name1,Visual_Search,0,0,11.5,17.62,13.5,16.62,,5.034,,False,3.034,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_CB95FD,4.460,,0.0,,,1.0,1.0,1.0,Delay in turn to read Markings Sign,D,23_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,21.8,27.04,23.8,26.04,,4.46,,False,2.46,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_CD6842,3.143,,0.0,,,0.0,0.0,0.0,,B,29_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,23.63,28.45,25.63,27.45,,3.143,,False,1.1429999999999998,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_CEF0A7,3.430,,0.0,,,1.0,1.0,1.0,Delay in turn to see rabbit,D,33_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,4.12,11.04,6.12,10.04,,3.43,,False,1.4300000000000002,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_D0AA7F,2.410,,0.0,,,0.0,0.0,0.0,,B,14_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,30.55,35.73,32.55,34.73,,2.41,,False,0.4100000000000001,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_D0ED19,3.371,,0.0,,,0.0,0.0,0.0,very low speed,D,30_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,44.65,53.15,46.65,52.15,,3.371,,False,1.371,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_D1108C,3.582,,0.0,,,0.0,,0.0,Name from visual search,C,04_RT,2,Q1,Name,Name1,Visual_Search,0,0,14.13,18.87,16.13,17.87,,3.582,,False,1.582,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_D1810D,,0,1.0,,,0.0,0.0,0.0,,D,27_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,35.02,39.96,37.02,38.96,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_D2B57F,2.477,,0.0,,,1.0,1.0,1.0,"Lean in to see squirrel, drive closer, major delay to turn",B,31_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,30.06,36.2,32.06,35.2,,2.477,,False,0.4769999999999998,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_D410E3,3.015,,0.0,,,1.0,0.0,0.0,Lean in to see Markings sign,D,07_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,25.34,31.58,27.34,30.58,,3.015,,False,1.015,0.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True
CLIP_D6D4ED,3.415,,0.0,,,0.0,0.0,0.0,,D,21_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,7.39,12.8,9.39,11.8,,3.415,,False,1.415,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_D8CAA4,3.094,,0.0,,,0.0,1.0,1.0,slow down and drive up to the squirrel. Hard to tell if they’re leaning in. ,A,32_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,52.55,62.19,54.55,61.19,91.22,3.094,,False,1.094,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_DDA306,4.185,,0.0,,,0.0,0.0,1.0,Came to a stop before turning to look at the rabbit,D,18_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,7.34,16.18,9.34,15.18,,4.185,,False,2.1849999999999996,0.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_DDCB80,3.286,,0.0,,,0.0,0.0,0.0,slight slowing for rabbit,D,28_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.41,10.37,7.41,9.37,,3.286,,False,1.286,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_DE5E8D,3.843,,0.0,,,0.0,1.0,1.0,minor delay in taking bend to look at squirrel,B,30_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,41.52,48.88,43.52,47.88,,3.843,,False,1.843,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_E2C82B,2.880,,0.0,,,0.0,0.0,0.0,very low speed,D,12_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,9.35,14.64,11.35,13.64,,2.88,,False,0.8799999999999999,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_E36B98,,0,1.0,,,0.0,0.0,0.0,,B,27_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,48.77,53.16,50.77,52.16,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_E93748,2.973,,0.0,,,0.0,,0.0,Name from visual search,C,20_RT,2,Q1,Name,Name1,Visual_Search,0,0,5.38,9.85,7.38,8.85,,2.973,,False,0.973,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_E93D7E,4.576,,0.0,,,0.0,,0.0,Name from visual search,C,29_RT,2,Q1,Name,Name1,Visual_Search,0,0,6.0,11.39,8.0,10.39,,4.576,,False,2.5759999999999996,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_E942CC,,0,1.0,,,0.0,0.0,1.0,minor delay in taking bend to look at squirrel,B,09_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,47.73,51.7,49.73,50.7,,,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_EA173A,2.177,,0.0,,,1.0,1.0,1.0,"major delay in turn, drove right up to the squirrel and leaned right in. Perfect example of the dual zoom. ",A,21_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,20.85,29.08,22.85,28.08,31.38,2.177,,False,0.177,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_EC31CA,3.354,,0.0,,,0.0,0.0,0.0,,D,03_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,10.38,15.34,12.38,14.34,,3.354,,False,1.354,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_EC8214,2.835,,0.0,,,1.0,1.0,1.0,"A slight lean, and delayed turn. ",A,26_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,28.26,33.18,30.26,32.18,36.52,2.835,,False,0.835,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_F4653A,3.571,,0.0,,,0.0,,1.0,Sudden increase in speed when answering query. ,C,25_RT,2,Q1,Name,Name1,Visual_Search,0,0,7.73,12.59,9.73,11.59,,3.571,,False,1.5710000000000002,0.0,0.0,,1.0,False,0.0,0.0,1.0,0.0,False
CLIP_F7BB54,3.185,,0.0,,,1.0,1.0,1.0,"Leaned, slowed, delayed turn to see rabbit. ",D,10_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,18.13,25.27,20.13,24.27,,3.185,,False,1.185,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_F8A86D,,,0.0,,,0.0,,0.0,Name from working memory,C,36_RT,2,Q1,Name,Name1,Working_Memory,0,0,5.5,13.56,7.5,12.56,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_F9AEA5,3.902,,0.0,,,0.0,0.0,0.0,,D,15_RT,3,Q3,Sign,Markings,Not_Applicable,1,1,17.2,23.76,19.2,22.76,24.67,3.902,,False,1.902,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_FAB901,,,0.0,,,0.0,,0.0,Name from working memory,C,32_RT,2,Q1,Name,Name1,Working_Memory,0,0,16.14,20.66,18.14,19.66,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_FAE29F,3.196,,0.0,,,0.0,0.0,0.0,Name from visual search,C,22_RT,2,Q1,Name,Name1,Visual_Search,0,0,7.26,12.13,9.26,11.13,,3.196,,False,1.1960000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_FB6A0F,3.391,,0.0,,,0.0,0.0,0.0,Name from visual search,C,23_RT,2,Q1,Name,Name1,Visual_Search,0,0,14.74,19.23,16.74,18.23,,3.391,,False,1.391,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_FB7FCB,3.439,,0.0,,,0.0,1.0,1.0,Slowed down and got closer to see rabbit,D,30_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,10.38,16.7,12.38,15.7,,3.439,,False,1.439,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_FBA2FE,3.955,,1.0,,,0.0,0.0,0.0,low speed,A,18_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,41.17,46.01,43.17,45.01,49.88,3.955,,False,1.955,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_FBF028,4.421,,1.0,,,0.0,0.0,0.0,,D,18_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,38.84,43.89,40.84,42.89,,4.421,,False,2.4210000000000003,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_FE9B4E,3.202,,1.0,,,1.0,0.0,1.0,stopped to look at squirrel ,B,24_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,45.21,50.84,47.21,49.84,,3.202,,False,1.202,1.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True
CLIP_FF89D0,,,0.0,,,0.0,,0.0,Name from working memory],C,21_RT,2,Q1,Name,Name1,Working_Memory,1,1,4.3,10.08,6.3,9.08,11.41,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_FFC9D7,2.523,,1.0,,,1.0,1.0,1.0,slowed down and delayed turn to squirrel ,B,22_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,29.58,35.92,31.58,34.92,,2.523,,False,0.5230000000000001,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
